0.wav|Aṅgas, Magadhans, Kasis, Kosalans, Vajjians, Mallans, Cetis, Vaṁsās,
261.wav|IGNORANCE. AVIJJĀ SUTTA  SAṀYUTTA NIKĀYA 35:80
262.wav|That's how Sunidha & Vassakāra, the chief ministers of Magadha, are building a city at Pāṭali Village to preempt the Vajjians.
263.wav|right there near Rājagaha at Jīvaka's Mango Grove…
264.wav|Vepacitti & Sucitti, Pahārāda, with Namucī,
265.wav|Then Venerable Sāriputta, having adjusted his lower robe and taking his bowl & outer robe, went to Dhanañjānin's home.
266.wav|Now at that time King Ajātasattu Vedehiputta of Magadha, suspicious of King Pajjota, was having Rājagaha fortified.
267.wav|I have heard that on one occasion the Blessed One was staying near Campā on the banks of the Gaggarā Lake with a large community of monks, approximately 500 monks in all.
268.wav|Then Sakka the deva-king & the Great King Vessavaṇṇa, giving precedence to Venerable Mahā Moggallāna, went to the Vejayanta palace.
269.wav|Then a sudden great rapture & joy welled up in Venerable Channa at the thought, 'So I am capable of understanding the Dhamma!'
270.wav|THE SHORTER ANALYSIS OF ACTION. CŪḶA KAMMA-VIBHAṄGA SUTTA  MAJJHIMA NIKĀYA 135
271.wav|And so the Cātumā Sakyans & Brahmā Sahampati were able to reconcile the Blessed One by means of the simile of the seedlings & the simile of the young calf.
272.wav|And on that occasion, Ajātasattu Vedehiputta, the king of Magadha, wanted to attack the Vajjians.
273.wav|I have heard that on one occasion the Blessed One was staying near Rājagaha in the Maddakucchi Deer Reserve.
274.wav|As Subhā the nun was going through Jīvaka's delightful mango grove, a libertine (a goldsmith's son) blocked her path, so she said to him:
275.wav|There are the contemplatives called the Nigaṇṭhas [Jains].
276.wav|Then Jantu the deva's son, on the uposatha of the fifteenth, went to those monks and, on arrival, addressed them in verses.
277.wav|King Seniya Bimbisāra of Magadha hasn't provoked me, nor have the Licchavis of Vesālī, nor has some other hostile king.
278.wav|THE SHORTER GOSIṄGA SĀLA-TREE DISCOURSE. CŪḶAGOSIṄGASĀLA SUTTA  MAJJHIMA NIKĀYA 31
279.wav|The Blessed One saw the spirit Vajirapāṇin, as did Saccaka the Nigaṇṭha-son.
280.wav|Has King Seniya Bimbisāra of Magadha provoked you, or have the Licchavis of Vesālī or some other hostile king?'
281.wav|As he was sitting there, he said to Venerable Ānanda, 'This has been said by Pañcālacaṇḍa the deva's son:
282.wav|when he can attain as he likes, without difficulty, without trouble, the four jhānas that are heightened mind-states and pleasant abidings in the here-&-now;
283.wav|TO SAJJHA. SAJJHA SUTTA  AṄGUTTARA NIKĀYA 9:8
284.wav|So those Licchavis said to her, 'Hey, Ambapālī, what are you doing—driving axle to axle, wheel to wheel, yoke to yoke—bringing the young Licchavis to a halt?'
285.wav|From what you have heard, how did the Daṇḍakī wilderness, the Kāliṅga wilderness, the Mejjha wilderness, & the Mātaṅga wilderness become wildernesses?'
286.wav|So the Blessed One early in the morning adjusted his lower robe and—taking his bowl & outer robe—went together with the Saṅgha of monks to Saccaka the Nigaṇṭha-son's monastery.
287.wav|Then two brahman cosmologists [Ājīvakas] went to the Blessed One and, on arrival, exchanged courteous greetings with him.
288.wav|On one occasion a larger number of elder monks were staying among the Cetiyas at Sahajani [Sahajati].
289.wav|There he addressed Venerable Sāriputta, 'Sāriputta, it is said in Ajita's Question in the Way to the Further Shore :
290.wav|I attain—whenever I want, without strain, without difficulty—the four jhānas that are heightened mental states, pleasant abidings in the here & now.
291.wav|I have heard that on one occasion the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery. There he addressed the monks, 'Monks!'
292.wav|Then the Licchavis of Vesālī heard, 'The Blessed One, they say, has arrived at Vesālī and is staying near Vesālī in Ambapālī's grove!'
293.wav|THE SHORTER LION'S ROAR DISCOURSE. CŪḶASĪHANĀDA SUTTA  MAJJHIMA NIKĀYA 11
294.wav|Have you heard how the Daṇḍakī wilderness, the Kāliṅga wilderness, the Mejjha wilderness, & the Mātaṅga wilderness became wildernesses?'
295.wav|THE SHORTER EXHORTATION TO RĀHULA. CŪḶA RĀHULOVĀDA SUTTA  MAJJHIMA NIKĀYA 147
296.wav|THE SHORTER FULL-MOON NIGHT DISCOURSE. CŪḶA PUṆṆAMA SUTTA  MAJJHIMA NIKĀYA 110
297.wav|So the brahman Paccanikasāta went to the Blessed One and, following behind the Blessed One as he was doing walking meditation, said to him, 'Speak Dhamma, contemplative.'
298.wav|right there near Rājagaha at the Maddakucchi Deer Park.
299.wav|Then Sajjha the wanderer went to the Blessed One and, on arrival, exchanged courteous greetings with him.
300.wav|The Blessed One has been reconciled by the Cātumā Sakyans & Brahmā Sahampati by means of the simile of the seedlings & the simile of the young calf.'
301.wav|THE SHORTER CRAVING-DESTRUCTION DISCOURSE. CŪḶA TAṆHĀSAṄKHAYA SUTTA  MAJJHIMA NIKĀYA 37
302.wav|Then, having declared the impossibility and unfeasibility (of that attainment) to the novice Aciravata, Prince Jayasena got up from his seat and left.
303.wav|Saccaka the Nigaṇṭha-son, with his own hand, served & satisfied the Saṅgha of monks headed by the Blessed One with exquisite staple & non-staple food.
304.wav|Then 700 devatās from the Satullapa retinue, in the far extreme of the night, their extreme radiance lighting up the entirety of Maddakucchi, went to the Blessed One.
305.wav|SUTTA NIPĀTA 5:1. AJITA'S QUESTIONS
306.wav|Then Nandaka, the chief minister of the Licchavis, went to the Blessed One and on arrival, having bowed down to him, sat to one side.
307.wav|And on that occasion Saccaka the Nigaṇṭha-son was dwelling in Vesālī—a debater, a sophist, well-regarded by people at large.
308.wav|Then the brahman Jaṭā Bhāradvāja received the Going-forth in the Blessed One's presence, he gained the Acceptance.
309.wav|THERAGĀTHĀ 1:113. VANAVACCHA
310.wav|So the Blessed One addressed Venerable Ānanda, 'Have you heard, Ānanda, that the Vajjians meet often and meet a great deal?'
311.wav|JANTU THE DEVA'S SON. JANTU SUTTA  SAṀYUTTA NIKĀYA 2:25
312.wav|When this was said, the brahman Jaṭā Bhāradvāja said to the Blessed One, 'Magnificent, Master Gotama!
313.wav|When this was said, a certain man said to Nandaka, the chief minister of the Licchavis, 'It is now time for your bath, sir.'
314.wav|Venerable Mahā Kassapa saw the Ājīvakan ascetic coming from afar, and on seeing him said to him, 'Do you know our teacher, friend?'
315.wav|Venerable Ānanda saw him coming from afar and, on seeing him, said to the Blessed One, 'Venerable sir, here comes Saccaka the Nigaṇṭha:
316.wav|AN ANALYSIS OF THE TRUTHS. SACCA-VIBHAṄGA SUTTA  MAJJHIMA NIKĀYA 141
317.wav|And on that occasion a brahman named Paccanikasāta (Enjoyer of Contradiction) was living in Sāvatthī.
318.wav|UDĀNA 3:3. YASOJA (YASOJA SUTTA)
319.wav|PRINCE BODHI. BODHIRĀJAKUMĀRA SUTTA  MAJJHIMA NIKĀYA 85
320.wav|Saccaka the Nigaṇṭha-son, after having exquisite staple & non-staple food prepared in his own monastery, announced the time to the Blessed One:
321.wav|Then the thought occurred to the brahman Paccanikasāta, 'Let's go to the contemplative Gotama and contradict whatever he says.'
322.wav|Then Vacchagotta the wanderer went to Venerable Mahā Moggallāna and, on arrival, exchanged courteous greetings with him.
323.wav|THE LESSER MASS OF STRESS. CŪḶA DUKKHAKKHANDHA SUTTA  MAJJHIMA NIKĀYA 14
324.wav|Then Venerable Isidatta—having set his lodging in order and taking his bowl & robes—left Macchikāsaṇḍa.
325.wav|Then, when the Blessed One had eaten and had rinsed his bowl & hands, Saccaka the Nigaṇṭha-son, taking a lower seat, sat down to one side.
326.wav|When this was said, Saccaka the Nigaṇṭha-son fell silent, abashed, sitting with his shoulders drooping, his head down, brooding, at a loss for words.
327.wav|THE SHORTER DISCOURSE AT ASSAPURA. CŪḶA-ASSAPURA SUTTA  MAJJHIMA NIKĀYA 40
328.wav|[Similarly with the second, third, & fourth jhānas.]
329.wav|[Similarly with the second, third, and fourth jhānas.]
330.wav|If Ciravāsi's mother were to be murdered or imprisoned or fined or censured, would you feel sorrow, lamentation, pain, distress, & despair?'
331.wav|THE SHORTER ELEPHANT FOOTPRINT SIMILE. CŪḶA HATTHIPADOPAMA SUTTA  MAJJHIMA NIKĀYA 27
332.wav|TO JĪVAKA. JĪVAKA SUTTA  MAJJHIMA NIKĀYA 55
333.wav|THE SHORTER EXHORTATION TO MĀLUṄKYA. CŪḶA MĀLUṄKYOVĀDA SUTTA  MAJJHIMA NIKĀYA 63
334.wav|Then Venerable Mahaka—having set his lodging in order and taking his bowl & robes—left Macchikāsaṇḍa.
335.wav|THE GREATER ANALYSIS OF ACTION. MAHĀ KAMMA-VIBHAṄGA SUTTA  MAJJHIMA NIKĀYA 136
336.wav|So Saccaka the Nigaṇṭha-son went up to the monks and said, 'Where, masters, is Master Gotama now?
337.wav|Then Prince Jayasena—walking back & forth & around to exercise his legs—went to the novice Aciravata and exchanged courteous greetings with him.
338.wav|TO PRINCE ABHAYA. ABHAYA RĀJA-KUMĀRA SUTTA  MAJJHIMA NIKĀYA 58
339.wav|whether Ājīvakas or Nigaṇṭhas,
340.wav|THE SHORTER SET OF QUESTIONS & ANSWERS. CŪḶA VEDALLA SUTTA  MAJJHIMA NIKĀYA 44
341.wav|Responding, 'As you say, sir,' to Prince Bodhi, the young brahman Sañjikāputta went to the Blessed One and, on arrival, announced the time, (saying,) 'It is time, Master Gotama.
342.wav|And Suppiya the wanderer was traveling on the highway between Rājagaha & Nālandā with his apprentice, Brahmadatta the young brahman.
343.wav|Then the Licchavis, delighting in and approving of the Blessed One's words, got up from their seats and, bowing down to him and circumambulating him, left.
344.wav|UDĀNA 2:1. MUCCALINDA (MUCCALINDA SUTTA)
345.wav|near the river Nerañjarā,
346.wav|Then the Licchavis, going in their vehicles as far as there was ground for vehicles, got down from their vehicles and approached the Blessed One on foot.
347.wav|Some of the Licchavis exchanged courteous greetings with the Blessed One and, after an exchange of friendly greetings & courtesies, sat to one side.
348.wav|Then Ambapālī the courtesan, driving axle to axle, wheel to wheel, yoke to yoke, brought those young Licchavis to a halt.
349.wav|THE SHORTER DISCOURSE ON EMPTINESS. CŪḶA SUÑÑATA SUTTA  MAJJHIMA NIKĀYA 121
351.wav|On one occasion the Blessed One was staying among the Vajjians near Hatthigāma.
352.wav|The Blessed One–with his divine eye, purified and surpassing the human–saw Venerable Saṅgāmaji's former wife misbehaving in that way.
353.wav|And at that time Māra, the Evil One, had taken possession of the brahman householders of Pañcasālā [with the thought,] 'Don't let Gotama the contemplative get alms.'
354.wav|THE VAJJIAN MONK. VAJJIPUTTA SUTTA  AṄGUTTARA NIKĀYA 3:85
355.wav|The Vacchagotta the wanderer, getting up from his seat, went to the Blessed One and, on arrival, exchanged courteous greetings with him.
356.wav|A MEAL. BHOJANA SUTTA  AṄGUTTARA NIKĀYA 5:37
357.wav|Now, the jhānas are said by the Blessed One to be thorned by noise.
358.wav|THE EXHORTATION TO RĀHULA AT MANGO STONE. AMBALAṬṬHIKĀ RĀHULOVĀDA SUTTA  MAJJHIMA NIKĀYA 61
359.wav|THE SHORTER HEARTWOOD SIMILE DISCOURSE. CŪḶA SĀROPAMA SUTTA  MAJJHIMA NIKĀYA 30
360.wav|THERAGĀTHĀ 1:13. VANAVACCHA
361.wav|So Venerable Mahā Moggallāna fabricated a fabrication of psychic power such that with his toe he made the Vejayanta Palace shiver & quiver & quake.
362.wav|THE PROFESSIONAL WARRIOR (1). YODHĀJĪVA SUTTA  AṄGUTTARA NIKĀYA 5:75
363.wav|THE PROFESSIONAL WARRIOR (2). YODHĀJĪVA SUTTA  AṄGUTTARA NIKĀYA 5:76
364.wav|TO YODHĀJĪVA (THE PROFESSIONAL WARRIOR). YODHĀJĪVA SUTTA  SAṀYUTTA NIKĀYA 42:3
365.wav|The Licchavis of Vesālī heard, 'The Blessed One, they say, has totally unbound in Kusinārā.'
366.wav|I have heard that on one occasion the Blessed One was staying among the Vajjians at Bhaṇḍa Village.
367.wav|Before you had seen or heard of Ciravāsi's mother, did you feel desire, passion, or love for her?'
368.wav|TO KACCĀNA GOTTA. KACCĀNAGOTTA SUTTA  SAṀYUTTA NIKĀYA 12:15
369.wav|Some of the Licchavis, having raised their hands palm-to-palm in front of the chest, sat to one side.
370.wav|TO THE MAN FROM AṬṬHAKANAGARA. AṬṬHAKANĀGARA SUTTA  MAJJHIMA NIKĀYA 52
371.wav|WITH VACCHAGOTTA. VACCHAGOTTA SUTTA  SAṀYUTTA NIKĀYA 44:8
372.wav|But there will come a time in the future when the Licchavis grow delicate, with soft palms of their hands & soles of their feet.
373.wav|It's Saccaka the Nigaṇṭha-son who will refute the statement of Gotama the contemplative.'
374.wav|It's Gotama the contemplative who will refute the statement of Saccaka the Nigaṇṭha-son.'
375.wav|Yet Saccaka the Nigaṇṭha, when asked by the Blessed One about the development of the mind, was unable to respond.
376.wav|Now, some of those Licchavis were dark blue, with dark blue complexions, dark blue clothing, & dark blue ornaments.
377.wav|As he was sitting there, the Blessed One said to him, 'Sandha, practice the absorption [jhāna] of a thoroughbred horse, not the absorption of an unbroken colt.
378.wav|Then Ārāmadaṇḍa the brahman went to Venerable Mahā Kaccāna and, on arrival, exchanged courteous greetings with him.
379.wav|THE DEVAS (ABOUT JHĀNA). DEVA SUTTA  AṄGUTTARA NIKĀYA 9:39
380.wav|CONDUCIVE TO THE IMPERTURBABLE. ĀNEÑJA-SAPPĀYA SUTTA  MAJJHIMA NIKĀYA 106
381.wav|So Saccaka the Nigaṇṭha, delighting in & approving of the Blessed One's words, got up from his seat and left.
382.wav|Then Vacchagotta the wanderer went to the Blessed One and, on arrival, exchanged courteous greetings with him.
383.wav|Then the wanderer Vacchagotta went to the Blessed One and, on arrival, exchanged courteous greetings with him.
384.wav|THE SIX SEXTETS. CHACHAKKA SUTTA  MAJJHIMA NIKĀYA 148
385.wav|Then Saccaka the Nigaṇṭha went to the Blessed One and, on arrival, exchanged courteous greetings with him.
386.wav|[5] 'And further, with the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—the monk enters & remains in the fourth jhāna:
387.wav|The Blessed One said, 'The Licchavis now live heedfully, ardent in exercise, with blocks of wood for pillows.
388.wav|I have heard that on one occasion the Blessed One was traveling on the highway between Rājagaha & Nālandā with a large Saṅgha of monks, approximately 500 monks.
389.wav|AMAZING & ASTOUNDING QUALITIES. ACCHARIY'ABBHŪTADHAMMA SUTTA  MAJJHIMA NIKĀYA 123
390.wav|I have heard that on one occasion the Blessed One was staying near Sāvatthī at Jeta's Grove, Anāthapiṇḍika's monastery. There he addressed the monks, 'Monks!'
391.wav|ABOUT CUNDA (VENERABLE SĀRIPUTTA'S PASSING AWAY). CUNDA SUTTA  SAṀYUTTA NIKĀYA 47:13
392.wav|When this was said, Saccaka the Nigaṇṭha-son was silent a second time.
393.wav|Then Vacchagotta the wanderer went to him and, on arrival, exchanged courteous greetings with him.
394.wav|The Licchavis of Vesālī built a burial mound and held a ceremony for the Blessed One's relics in Vesālī.
395.wav|There is the case where a monk—quite secluded from sensuality, secluded from unskillful (mental) qualities—enters & remains in the first jhāna:
396.wav|Then the Blessed One said to Saccaka, 'The ones you described just now as developed in the development of the body:
397.wav|On one occasion Venerable Godatta was staying near Macchikāsaṇḍa in the Wild Mango Grove.
398.wav|Some of those Licchavis were yellow, with yellow complexions, yellow clothing, & yellow ornaments.
399.wav|Now on that occasion, five hundred Licchavis had gathered at a meeting hall on some business or other.
400.wav|A second time, the Blessed One said to Saccaka the Nigaṇṭha-son:
401.wav|I had 84,000 chariots with golden ornaments, golden banners, covered with nets of golden thread, the chief of which was the chariot Vejayanta.
402.wav|TO JĀṆUSSOṆIN (ON OFFERINGS TO THE DEAD). JĀṆUSSOṆIN SUTTA  AṄGUTTARA NIKĀYA 10:166
403.wav|Responding, 'As you say, dear,' to Dīghāvu the lay follower, Jotiya the householder went to the Blessed One and, on arrival, having bowed down to him, sat to one side.
404.wav|Some of those Licchavis were white, with white complexions, white clothing, & white ornaments.
405.wav|As they were sitting there, Venerable Ānanda said to the Blessed One, 'Lord, Cunda the novice, here, has said that Nigaṇṭha Nāṭaputta has just died in Pāvā.
406.wav|PAÑCĀLACAṆḌA THE DEVA'S SON. PAÑCĀLACAṆḌA SUTTA  SAṀYUTTA NIKĀYA 2:7
407.wav|REQUISITE CONDITIONS. PACCAYA SUTTA  SAṀYUTTA NIKĀYA 12:20
408.wav|Some of those Licchavis were red, with red complexions, red clothing, & red ornaments.
409.wav|That's the way it is, Cunda, with a poorly proclaimed Dhamma-Vinaya, poorly expounded, not leading out, not conducive to calming, expounded by one who is not rightly self-awakened.
410.wav|When this was said, Saccaka the Nigaṇṭha-son was silent.
411.wav|So Venerable Mahā Kaccāna gave Soṇa Koṭikaṇṇa the going-forth.
412.wav|As he was sitting there, he said to Venerable Sabhiya Kaccāna, 'Now then, Master Kaccāna, does the Tathāgata exist after death?'
413.wav|I will bring these Vajjians to ruin—these Vajjians!'
414.wav|I have heard that on one occasion Venerable Sāriputta was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
415.wav|THE GREATER CRAVING-DESTRUCTION DISCOURSE. MAHĀ TAṆHĀSAṄKHAYA SUTTA  MAJJHIMA NIKĀYA 38
416.wav|Now at that time, Jāṇussoṇin the brahman was driving out of Sāvatthī in the middle of the day in a totally white roofed-chariot.
417.wav|Some of the Licchavis, after announcing their name and clan, sat to one side.
418.wav|On one occasion Venerable Ānanda was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
419.wav|the body named Vehapphalā [Sky-fruit], {the body named Abhibhū [Conqueror]} which you don't know, don't see, but that I know, I see.
420.wav|Some of the Licchavis, having bowed down to the Blessed One, sat to one side.
421.wav|with Timbaru [and his daughter,] Suriyavacchasā [SunDazzle].
422.wav|Afterwards, when he leaves two qualities—greed & ill will—then, quite secluded from sensuality, secluded from unskillful qualities, he enters & remains in the first jhāna:
423.wav|There I taught the Vajjians these seven conditions that lead to no decline.
424.wav|When you think these eight thoughts of a great person, then—whenever you want—with the stilling of directed thoughts & evaluations, you will enter & remain in the second jhāna:
425.wav|Without jumping at the fourth jhāna, with the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—he enters & remains in the fourth jhāna:
426.wav|Then the Licchavis set out for Ambapālī's grove.
427.wav|When this was said, Vacchagotta the wanderer said to the Blessed One:
428.wav|Regard the assembly of Licchavis as like the assembly of the Thirty-three!'
429.wav|FIVE & THREE. PAÑCATTAYA SUTTA  MAJJHIMA NIKĀYA 102
430.wav|[1] 'There is the case where a monk, quite secluded from sensuality, secluded from unskillful qualities, enters & remains in the first jhāna:
431.wav|There is the case where, whenever we want, with the abandoning of pleasure & pain—as with the earlier disappearance of joy & distress—we enter & remain in the fourth jhāna:
432.wav|And on that occasion Samīti the cartwright was planing the rim of a chariot wheel, and the Ājīvaka Paṇḍuputta, a former cartwright, was standing by.
433.wav|Then Rohitassa, the son of a deva, in the far extreme of the night, his extreme radiance lighting up the entirety of Jeta's Grove, went to the Blessed One.
434.wav|As they were sitting there, Venerable Ānanda said to the Blessed One, 'Lord, just now Cunda the novice said to me, 'Venerable sir, Venerable Sāriputta has totally unbound.
435.wav|Then King Ajātasattu Vedehiputta of Magadha built a burial mound and held a ceremony for the Blessed One's relics in Rājagaha.
436.wav|That's the way it is, Cunda, with a well-proclaimed Dhamma-Vinaya, well-expounded, leading out, conducive to calming, expounded by one who is rightly self-awakened.
437.wav|There is the case where, in a monk who has attained the five-factored first jhāna, there occurs directed thought, evaluation, rapture, pleasure, & singleness of mind.
438.wav|When this was said, Saccaka the Nigaṇṭha said to the Blessed One:
439.wav|On one occasion Venerable Sāriputta was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
440.wav|There is the case where a monk, with the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—enters & remains in the fourth jhāna:
441.wav|There is the case where a monk, with the abandoning of pleasure & pain—as with the earlier disappearance of happiness & distress—enters & remains in the fourth jhāna:
442.wav|MENTAL ABSORPTION (1). JHĀNA SUTTA  AṄGUTTARA NIKĀYA 4:123
443.wav|MENTAL ABSORPTION (2). JHĀNA SUTTA  AṄGUTTARA NIKĀYA 4:124
444.wav|In the four jhānas:
445.wav|I have heard that on one occasion the Blessed One, on a wandering tour among the Kosalans with a large Saṅgha of monks, arrived at Kesaputta, a town of the Kālāmas.
446.wav|Then, early in the morning, Vijayā the nun adjusted her robes and, taking her bowl & outer robe, went into Sāvatthī for alms.
447.wav|entering the jhānas:
448.wav|Then Cunda the novice, who had spent the Rains at Pāvā, went to Venerable Ānanda at Sāmagāma and, on arrival, having bowed down to him, sat to one side.
449.wav|• 'Four jhānas:
450.wav|Then Māra the Evil One—sad & dejected at realizing, 'Vijayā the nun knows me'—vanished right there.
451.wav|Some of the Licchavis, staying silent, sat to one side.
452.wav|As they were sitting there, they [told him what had happened, and added,] 'Analyze the meaning, Venerable Mahā Kaccāna!'
453.wav|I have heard that on one occasion Venerable Mahā Kaccāna was staying in Avanti at Osprey's Haunt, on Sheer-face Peak.
454.wav|Then the Blessed One, having stayed near Rājagaha as long as he pleased, said to Venerable Ānanda, 'Come, Ānanda, we will head for Ambalaṭṭhikā.'
455.wav|After wandering by stages he reached Sāvatthī, and there he lived near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
456.wav|When one has attained the fourth jhāna, in-and-out breaths [bodily fabrications] have ceased.
457.wav|When one has attained the fourth jhāna, in-&-out breaths [bodily fabrications] have ceased.
458.wav|JHĀNA (1). JHĀNA SUTTA  AṄGUTTARA NIKĀYA 6:73
459.wav|JHĀNA (2). JHĀNA SUTTA  AṄGUTTARA NIKĀYA 6:74
460.wav|But when this self, with the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—enters & remains in the fourth jhāna:
461.wav|As he was sitting there, Venerable Ānanda said to him, 'What, friend Bhaddaji, is supreme among sights?
462.wav|I don't see that,' he should be told, 'There is the case, friend, where a monk, with the stilling of directed thoughts & evaluations, enters & remains in the second jhāna:
463.wav|THE GREATER DISCOURSE TO SAKULUDĀYIN. MAHĀSAKULUDĀYI SUTTA  MAJJHIMA NIKĀYA 77
464.wav|I have heard that at on one occasion the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
465.wav|There is the case, friends, where a monk—quite secluded from sensuality, secluded from unskillful qualities—enters & remains in the first jhāna:
466.wav|Seated, he said to Cunda, 'Cunda, serve me with the pig-delicacy you have had prepared, and the Saṅgha of monks with the other staple & non-staple food you have had prepared.'
467.wav|With reference to things in the future that provide the occasion for desire & passion, one discerns their future (kammic) results.
468.wav|With reference to things in the present that provide the occasion for desire & passion, one discerns their future (kammic) results.
469.wav|Or further, with the abandoning of pleasure & pain—as with the earlier disappearance of elation & distress—he enters & remains in the fourth jhāna:
470.wav|On one occasion the Blessed One was staying among the Magadhans near the brahman village of Pañcasālā.
471.wav|THE GREAT FORTY. MAHĀ CATTĀRĪSAKA SUTTA  MAJJHIMA NIKĀYA 117
472.wav|TO BHŪMIJA. BHŪMIJA SUTTA  MAJJHIMA NIKĀYA 126
473.wav|I have heard that on one occasion the Blessed One was staying near Sāvatthī, in Jeta's Grove, Anāthapiṇḍika's Monastery.
474.wav|With reference to things in the past that provide the occasion for desire & passion, one discerns their future (kammic) results.
475.wav|SUTTA NIPĀTA 5:15. MOGHARĀJA'S QUESTION
476.wav|THE DEVELOPMENT OF THE FACULTIES. INDRIYA-BHĀVANĀ SUTTA  MAJJHIMA NIKĀYA 152
477.wav|I have heard that at one time the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
478.wav|Then his former wife, taking the baby and leaving him in front of Venerable Saṅgāmaji, went away, saying, 'That's your son, contemplative. Look after him.'
479.wav|In that, the Dhamma-devotee monks do not shine brightly, and the jhāna monks do not shine brightly.
480.wav|In that, the jhāna monks do not shine brightly, and the Dhamma-devotee monks do not shine brightly.
481.wav|Then Vacchagotta the wanderer got up from his seat and left.
482.wav|When one has attained the second jhāna, directed thoughts & evaluations [verbal fabrications] have ceased.
483.wav|There is the case where a monk—quite secluded from sensuality, secluded from unskillful qualities—enters & remains in the first jhāna:
484.wav|There is the case where a monk—quite secluded from sensuality, secluded from unskillful qualities—enters and remains in the first jhāna:
485.wav|There is the case where a monk—quite secluded from sensuality, secluded from unskillful qualities—enters & remains in the first jhāna…
486.wav|So, giving priority to non-fashioning, he neither exalts himself for the attainment of the first jhāna nor disparages others.
487.wav|On one occasion Venerable Mahā Kaccāna was staying at Varaṇā on the shore of Kaddama (Muddy) Lake.
488.wav|THE GREAT FULL-MOON NIGHT DISCOURSE. MAHĀ PUṆṆAMA SUTTA  MAJJHIMA NIKĀYA 109
489.wav|There is the case where, quite secluded from sensuality, secluded from unskillful qualities, the disciple of the noble ones enters & remains in the first jhāna:
490.wav|Then Kaṇḍarāyana the brahman went to Venerable Mahā Kaccāna and on arrival exchanged courteous greetings with him.
491.wav|FROM ONE WHO IS DEAR. PIYAJĀTIKA SUTTA  MAJJHIMA NIKĀYA 87
492.wav|Without jumping at the second jhāna, he—with the stilling of directed thoughts & evaluations—enters & remains in the second jhāna:
493.wav|THE GREAT LION'S ROAR DISCOURSE. MAHĀSĪHANĀDA SUTTA  MAJJHIMA NIKĀYA 12
494.wav|Then a certain devatā, in the far extreme of the night, her extreme radiance lighting up the entirety of Jeta's Grove, went to the Blessed One.
495.wav|In the same way, a monk—quite secluded from sensuality, secluded from unskillful qualities—enters & remains in the first jhāna:
496.wav|TO BRAHMĀYU (EXCERPT). BRAHMĀYU SUTTA  MAJJHIMA NIKĀYA 91
497.wav|I have heard that on one occasion the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍaka's monastery.
498.wav|THE GREAT MASS OF STRESS. MAHĀ DUKKHAKKHANDHA SUTTA  MAJJHIMA NIKĀYA 13
499.wav|Then, early in the morning, Vajirā the nun adjusted her robes and, taking her bowl & outer robe, went into Sāvatthī for alms.
500.wav|Khara the yakkha said to Suciloma the yakkha, 'That's a contemplative.'
501.wav|I will destroy these Vajjians!
502.wav|LIKE-MINDED. SAMACITTA SUTTA  AṄGUTTARA NIKĀYA 2:35
503.wav|This, Dāmali, is a simile for the brahman—effluents ended, masterful, doing jhāna:
504.wav|THE FOUR JHĀNAS
505.wav|Then the thought occurred to me, 'There is the case where a monk, with the stilling of directed thoughts & evaluations, enters & remains in the second jhāna:
506.wav|On one occasion the Blessed One was staying near Rājagaha on Vulture Peak Mountain, not long after Devadatta's departure.
507.wav|I have heard that on one occasion Venerable Ānanda was staying near Rājagaha in the Bamboo Forest, the Squirrels' Sanctuary, not long after the Blessed One's total unbinding.
508.wav|But when this self—quite secluded from sensuality, secluded from unskillful qualities—enters & remains in the first jhāna:
509.wav|Then the thought occurred to them, 'Venerable Mahā Kaccāna is praised by the Teacher and esteemed by his observant companions in the holy life.
510.wav|On one occasion the Blessed One was staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.
511.wav|On one occasion the Blessed One was staying near Sāvatthī at Jeta's Grove, Anāthapiṇḍika's monastery.
512.wav|I have heard that on one occasion the Blessed One was staying near Rājagaha on Vulture Peak mountain, not long after Devadatta had left.
513.wav|Then Māra the Evil One—sad & dejected at realizing, 'Vajirā the nun knows me'—vanished right there.
514.wav|Come on out, good Licchavis!
515.wav|There is the case where, whenever we want, quite secluded from sensuality, secluded from unskillful qualities, we enter & remain in the first jhāna:
516.wav|THE SIMILE OF THE SAW. KAKACŪPAMA SUTTA  MAJJHIMA NIKĀYA 21
517.wav|THE VAJJIAN PRINCELING. VAJJĪPUTTA SUTTA  SAṀYUTTA NIKĀYA 9:9
518.wav|There is the case, friends, where a monk, quite secluded from sensuality, secluded from unskillful qualities, enters & remains in the first jhāna:
