0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
75.wav| nˈaʊ ˈɒn ðˈat əkˈeɪʒən ðˈɪs ˈiːvəl vjˈuːpɔɪnt [d̪ɪʈʈʰɪət̪ə] hˈad əɹˈɪzən ˈɪn ðˈə mˈʌŋk əɾɪʈʈʰə fˈɔːməli-ˈɒv-ðˈə-vˈʌltʃə-kˈɪləz:
76.wav| 'lˈast nˈaɪt, mˈʌŋks, ˈeɪ sˈɜːtən d̪eːʋət̪ɑː ˈɪn ðˈə fˈɑː ɛkstɹˈiːm ˈɒv ðˈə nˈaɪt, hˈɜː ɛkstɹˈiːm ɹˈeɪdiəns lˈaɪtɪŋ ˈʌp ðˈə ɛntˈaɪɹɪti ˈɒv d̪ʒeːt̪ə's̪ ɡɹˈəʊv,
77.wav| ˈaɪ ˈɛntə ˈand ɹɪmˈeɪn ˈɪn ðˈə sˈɛkənd d̪ʒʰɑːn̪ə: ɹˈaptʃə ˈand plˈɛʒə bˈɔːn ˈɒv kˌɒnsəntɹˈeɪʃən, jˌuːnɪfɪkˈeɪʃən ˈɒv ɐwˈeənəs fɹˈiː fɹˈɒm daɪɹˈɛktɪd θˈɔːt ˈand ɪvˌaljuːˈeɪʃən,
78.wav| nˈaʊ, ˈat ðˈat tˈaɪm ðˈɪs ˈiːvəl vjˈuːpɔɪnt [d̪ɪʈʈʰɪət̪ə] hˈad əɹˈɪzən tˈuː vˈɛnəɹəbəl jəməkə:
79.wav| sˈəʊ vˈɛnəɹəbəl ɑːn̪ən̪d̪ə, tˈeɪkɪŋ məɦɑːn̪ɑːmə ðˈə s̪əkjən̪ bˈaɪ ðˈə ˈɑːm, lˈɛd hˈɪm tˈuː wˈɒn sˈaɪd ˈand sˈɛd tˈuː hˈɪm,
80.wav| nˈaʊ, kəs̪s̪əpə ðˈə blˈɛsɛd wˈɒn, wˈɜːði ˈand ɹˈaɪtli sˈɛlf-ɐwˈeɪkənd, hˈad ˈeɪ lˈeɪ fˈɒləʊə nˈeɪmd əʋeːs̪ɪn̪ hˈuː dˈɪdnt pɹˈaktɪs ˈɪn fˈʊl ˈɪn tˈɜːmz ˈɒv hˈɪz vˈɜːtʃuː.
81.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl ɑːn̪ən̪d̪ə wˈɒz stˈeɪɪŋ ˈɪn koːs̪əmbiː ˈat ʰoːs̪ɪt̪ə's̪ mˈɒnastəɹi.
82.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, t̪ɪmbəɾukkʰə ðˈə wˈɒndəɹə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn: 'maɡnˈɪfɪsənt, mˈastə oːt̪əmə! maɡnˈɪfɪsənt!
83.wav| huːˈɛvə, ðˈəʊ nˈɒt ˈan əɾəɦən̪t̪, klˈeɪmz tˈuː bˈiː ˈan əɾəɦən̪t̪: hˈiː ˈɪz ðˈə θˈiːf ˈɪn ðˈɪs wˈɜːld wˈɪð ˈɪts bɾəɦmɑːs̪.
84.wav| 'ðˈə wˈɜːdz ˈɒv oːt̪əmə ðˈə kəntˈəmplətˌɪv—sˈəʊ mˈaɪti, sˈəʊ pˈaʊəfəl—wˈɜː ɹɪfjˈuːtɪd bˈaɪ pɹˈɪns əbʰəjə!'
85.wav| ðˈə bɹˈɑːmən ud̪əjə, hˈavɪŋ fˈɪld ðˈə blˈɛsɛd wˈɒnz bˈəʊl wˈɪð ɹˈaɪs, sˈɛd tˈuː hˈɪm, 'ðˈɪs pˈɛski oːt̪əmə kəntˈəmplətˌɪv kˈiːps kˈʌmɪŋ ɐɡˈɛn ˈand ɐɡˈɛn.'
86.wav| 'ɛndˈaʊd wˈɪð ðˈiːz sˈɪks kwˈɒlɪtiz, ˈeɪ mˈʌŋk ˈɪz kˈeɪpəbəl ˈɒv ɐtˈeɪnɪŋ əɾəɦən̪t̪s̪ɦɪp, ðˈə fˈɔːməʊst stˈeɪt.'
87.wav| ˈɪn ðˈə sˈeɪm wˈeɪ, pəɦɑːɾɑːd̪ə, mˈaɪ dɪsˈaɪpəlz dˈuː nˈɒt—ˈiːvən fˈɔː ðˈə sˈeɪk ˈɒv ðˈeə lˈaɪvz—ˌəʊvəstˈɛp ðˈə tɹˈeɪnɪŋ ɹˈuːlz ˈaɪ hˈav fˈɔːmjʊlˌeɪtɪd fˈɔː ðˈɛm.…
88.wav| 'pˈeɪ ɐtˈɛnʃən, əɪʋeːs̪s̪ən̪ə, ˈand ˈansə (ˈəʊnli) ˈaftə hˈavɪŋ pˈeɪd ɐtˈɛnʃən!
89.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, mɑːən̪d̪ɪjə ðˈə wˈɒndəɹə ɹˈʌbd hˈɪz ˈəʊn lˈɪmz wˈɪð hˈɪz hˈand. 'ðˈɪs ˈɪz ðˈat fɹˈiːdəm fɹˈɒm dɪzˈiːz, mˈastə oːt̪əmə,' hˈiː sˈɛd.
90.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ɐmˈʌŋ ðˈə s̪əkjən̪s̪ ˈat kəpɪləʋət̪t̪ʰu ˈɪn ðˈə bˈanjən pˈɑːk.
91.wav| 'ðˈɪs ˈɪz pˈiːs, ðˈɪs ˈɪz ɛkskwˈɪsɪt—ðˈə pˌasɪfɪkˈeɪʃən ˈɒv ˈɔːl fˌabɹɪkˈeɪʃənz; ðˈə ɹɪlˈɪŋkwɪʃɪŋ ˈɒv ˈɔːl ɐkwɪsˈɪʃənz; ðˈə ˈɛndɪŋ ˈɒv kɹˈeɪvɪŋ; dɪspˈaʃən; sɛsˈeɪʃən; ʌnbˈaɪndɪŋ.
92.wav| 'lˈɔːd, ðˈat ˈɪz nˈɒt (tˈuː bˈiː ˈansəd) wˈɪð ˈeɪ kˌatɪɡˈɒɹɪkəl ˈansə.' 'ˈɪn ðˈat kˈeɪs, ɑːn̪ən̪d̪ə, ɡˈɪv ˈan ˌanɐlˈɪtɪkəl ˈansə.'
93.wav| hˈiː dˈʌzənt, wˈɪð hˈɪz dɪsˈɜːnmənt, dɪsˈɜːn [ðˈə d̪ʰəmmə's̪] hˈaɪə mˈiːnɪŋ ˈɔː ɡˈəʊl.
94.wav| hˈavɪŋ ɐdʒˈʌstɪd hˈɪz ˈʌndə ɹˈəʊb ˈand kˈaɹiɪŋ hˈɪz bˈəʊl ˈand ˈaʊtə ɹˈəʊb, wˈɛnt tˈuː ðˈə hˈəʊm ˈɒv ðˈə hˈaʊshəʊldə, n̪əkulə's̪ fˈɑːðə.
95.wav| wɪðˈaʊt ɐpɹˈuːvəl ˈɔː skˈɔːn, tˈeɪk kˈeəfəl nˈəʊt ˈɒv hˈɪz wˈɜːdz ˈand mˈeɪk ðˈɛm stˈand ɐɡˈɛnst ðˈə s̪ut̪t̪əs̪ ˈand tˈalɪ ðˈɛm ɐɡˈɛnst ðˈə ʋɪn̪əjə.
96.wav| ðˈɛn ˈɪn ðˈə ˈɜːlɪ mˈɔːnɪŋ, vˈɛnəɹəbəl meːʰɪjə ɐdʒˈʌstɪd hˈɪz ˈʌndə ɹˈəʊb ˈand–kˈaɹiɪŋ hˈɪz bˈəʊl ˈand ɹˈəʊbz–wˈɛnt ˈɪntʊ d̪ʒən̪t̪u vˈɪlɪdʒ fˈɔː ˈɑːmz.
97.wav| ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ˈat ɑːɭəʋiː ˈɪn ðˈə hˈɔːnt ˈɒv ðˈə ɑːɭəʋəkə jəkkʰə.
98.wav| ðˈɛn ʋɪs̪ɑːkʰə ðˈə lˈeɪ fˈɒləʊə wˈɛnt tˈuː d̪ʰəmməd̪ɪn̪n̪ɑː ðˈə nˈʌn ˈand, ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɜː, sˈat tˈuː wˈɒn sˈaɪd.
99.wav| ðˈə hˈaʊshəʊldə n̪əkuləpɪt̪ɑː dɪlˈaɪtɪd ˈɪn vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə's̪ wˈɜːdz.
100.wav| ðˈə pjˌʊəɹɪfɪkˈeɪʃən ˈɒv ˈɑːmsfuːd. pɪɳɖəpɑːt̪əpɑːɾɪs̪ud̪d̪ʰɪ s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd fˈɪfti wˈɒn
101.wav| ðˈɛn bɑːɦɪjə, dˈiːpli tʃˈeɪsənd bˈaɪ ðˈə d̪eːʋət̪ɑː, lˈɛft s̪uppɑːɾəkə ɹˈaɪt ðˈɛn ˈand, ˈɪn ðˈə spˈeɪs ˈɒv wˈɒn nˈaɪt, wˈɛnt ˈɔːl ðˈə wˈeɪ tˈuː wˈeə ðˈə blˈɛsɛd wˈɒn wˈɒz,
102.wav| ðˈɪs wˈɒz sˈɛd bˈaɪ ðˈə blˈɛsɛd wˈɒn ˈɪn mɑːəɳɖɪjə's̪ kwˈɛstʃənz ˈɪn ðˈə əʈʈʰəkə ʋəə:
103.wav| 'keːʋəʈʈə, ˈaɪ dˈəʊnt tˈiːtʃ ðˈə mˈʌŋks ˈɪn ðˈɪs wˈeɪ: 'kˈʌm, mˈʌŋks, dɪsplˈeɪ ˈeɪ mˈɪɹəkəl ˈɒv sˈaɪkɪk pˈaʊə tˈuː ðˈə lˈeɪ pˈiːpəl klˈad ˈɪn wˈaɪt.'
104.wav| ˈaz ðˈeɪ wˈɜː sˈɪtɪŋ ðˈeə, vˈɛnəɹəbəl n̪ən̪d̪əkə sˈɛd tˈuː ðˈɛm: 'ðˈɪs wˈɪl bˈiː ˈeɪ kwˈɛstʃən-ɹɪspˈɒns tˈɔːk, sˈɪstəz.'
105.wav| hˈaʊ ɪmˈɜːst ˈɪn ˈɪɡnəɹəns ˈɪz bəkə bɾəɦmɑː! — ˈɪn ðˈat wˈɒt ˈɪz ˈaktʃuːəli ɪŋkˈɒnstənt hˈiː kˈɔːlz 'kˈɒnstənt.'
106.wav| 'bˈʌt, ən̪uɾud̪d̪ʰəs̪, hˈaʊ dˈuː jˈuː ɹɪmˈeɪn hˈiːdfəl, ˈɑːdənt, ˈand ɹˈɛzəlˌuːt?'
107.wav| nˈaʊ ˈat ðˈat tˈaɪm ˈeɪ klˈanzmən nˈeɪmd ɾəʈʈʰəpɑːlə, ðˈə sˈʌn ˈɒv ðˈə lˈiːdɪŋ klˈan ˈɪn ðˈat sˈeɪm t̪ʰulləkoːʈʈʰɪt̪ə, wˈɒz sˈɪtɪŋ ˈɪn ðˈat ɐsˈɛmblɪ.
108.wav| ˈaɪ pɹˈaktɪst ˈɪn tjˈuːn, ɐtˈeɪnɪŋ ðˈə fˈɔːməʊst ɡˈəʊl. ðˈə θɹˈiː nˈɒlɪdʒɪz ˈɑː ɐtˈeɪnd. ðˈə bud̪d̪ʰə's̪ bˈɪdɪŋ, dˈʌn.
109.wav| sˈəʊ ðˈə wˈɒndəɹɪŋ sɛktˈeəɹiənz, ɐdɹˈɛsɪŋ vˈɛnəɹəbəl ən̪uɾɑːd̪ʰə ˈaz ðˈeɪ wˈʊd ˈeɪ njˈuːkʌmə ˈɔː ˈeɪ fˈuːl, ɡˈɒt ˈʌp fɹˈɒm ðˈeə sˈiːts ˈand lˈɛft.
110.wav| 's̪uppəʋɑːs̪ɑː ðˈə koːlɪjən̪-dˈɔːtə, lˈɔːd, ʃˈəʊz ɹˈɛvəɹəns wˈɪð hˈɜː hˈɛd tˈuː jˈɔː fˈiːt.'
111.wav| 'wˈɒt dˈuː jˈuː θˈɪŋk, s̪iːɦə? hˈuːm wˈʊd əɾəɦən̪t̪s̪, wˈɛn vˈɪzɪtɪŋ, fˈɜːst vˈɪzɪt…?'
112.wav| 'lˈɔːd, ðˈə mˈʌŋk nˈeɪmd s̪ɑːɭɦə hˈaz dˈaɪd ˈɪn n̪ɑːd̪ɪkɑː. wˈɒt ˈɪz hˈɪz dˌɛstɪnˈeɪʃən, wˈɒt hˈɪz fjˈuːtʃə stˈeɪt?
113.wav| ˈaftə ɹɪsˈaɪtɪŋ ðˈiːz vˈɜːsɪz wˈaɪl stˈandɪŋ, vˈɛnəɹəbəl ɾəʈʈʰəpɑːlə wˈɛnt tˈuː kˈɪŋ koːɾəʋjə's̪ mɪɑːt̪ʃiːɾə.
114.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, vˈɛnəɹəbəl moːɭɪjə pʰəun̪ə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn, 'lˈɔːd, hˈuː fˈiːdz ˈɒn ðˈə kˈɒnʃəsnəs-njˈuːtɹɪmənt?'
115.wav| d̪ʰəmməpəd̪ə. wˈɒn: pˈeəz. fɪnˈɒmɪnə ˈɑː pɹɪsˈiːdɪd bˈaɪ ðˈə hˈɑːt, ɹˈuːld bˈaɪ ðˈə hˈɑːt, mˈeɪd ˈɒv ðˈə hˈɑːt.
116.wav| ðˈʌs ˈat ðˈə pɑːʋɑːlə ʃɹˈaɪn—mˈaɪndfəl ˈand ɐlˈɜːt—ðˈə blˈɛsɛd wˈɒn ɹɪlˈɪŋkwɪʃt ðˈə fˌabɹɪkˈeɪʃənz ˈɒv lˈaɪf.
117.wav| vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə sˈɔː vˈɛnəɹəbəl ɾɑːɦulə sˈɪtɪŋ ˈat ðˈə fˈʊt ˈɒv ˈeɪ tɹˈiː, hˈɪz lˈɛɡz fˈəʊldɪd kɹˈɒswaɪz, hˈɪz bˈɒdi hˈɛld ɪɹˈɛkt,
118.wav| vˈɛnəɹəbəl t̪ʃuːɭə pən̪t̪ʰəkə wˈɒz sˈɪtɪŋ nˈɒt fˈɑː fɹˈɒm ðˈə blˈɛsɛd wˈɒn, hˈɪz lˈɛɡz kɹˈɒst, hˈɪz bˈɒdi hˈɛld ɪɹˈɛkt, wˈɪð mˈaɪndfəlnəs ɪstˈablɪʃt tˈuː ðˈə fˈɔː.
119.wav| ðˈɛn d̪ʒəmbukʰɑːd̪əkə ðˈə wˈɒndəɹə wˈɛnt tˈuː vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
120.wav| ˈɪn ðˈə sˈeɪm wˈeɪ, klˈiə ˈɑː mˈastə oːt̪əmə's̪ fˈakəltiz, pjˈʊə hˈɪz kəmplˈɛkʃən, ˈand bɹˈaɪt!
121.wav| ðˈɛn keːɳɪjə ðˈə kˈɔɪld-hˈeə ɐsˈɛtɪk, ˌʌndəstˈandɪŋ ðˈə blˈɛsɛd wˈɒnz ˌakwɪˈɛsəns, ɡˈɒt ˈʌp fɹˈɒm hˈɪz sˈiːt ˈand ɹɪtˈɜːnd tˈuː hˈɪz ˈəʊn ˈaʃɹam.
122.wav| bˈaɪ mˈiːnz ˈɒv ðˈɪs fˈaktə ˈaɪ ˈɛmjʊlˌeɪt ðˈə əɾəɦən̪t̪s̪, ˈand mˈaɪ upoːs̪ət̪ʰə wˈɪl bˈiː ɒbzˈɜːvd.
123.wav| 'ðˈɛn, d̪iːʰɑːʋu, ɪstˈablɪʃt ˈɪn ðˈiːz fˈɔː fˈaktəz ˈɒv stɹˈiːm-ˈɛntɹi, jˈuː ʃˈʊd dɪvˈɛləp ðˈiːz sˈɪks kwˈɒlɪtiz sˈaɪdɪŋ wˈɪð klˈiə nˈəʊɪŋ:
124.wav| 'ˈɪts tˈaɪm, vˈɛnəɹəbəl sˈɜːz. ðˈə mˈiːl ˈɪz ɹˈɛdi ˈat lˈeɪdi n̪ən̪d̪əmɑːt̪ɑː's̪ hˈəʊm.'
125.wav| 'ðˈʌs kəmmə ˈɪz ðˈə fˈiːld, kˈɒnʃəsnəs ðˈə sˈiːd, ˈand kɹˈeɪvɪŋ ðˈə mˈɔɪstʃə.
126.wav| ðˈɛn pəɲt̪ʃəkəŋə wˈɛnt tˈuː uɑːɦəmɑːn̪ə ˈand, ˈɒn ɐɹˈaɪvəl, ɡɹˈiːtɪd hˈɪm kˈɜːtiəsli.
127.wav| bˈaʊnd tˈuː mɑːɾə's̪ jˈəʊk, fɹˈɒm ðˈə jˈəʊk ðˈeɪ fˈaɪnd nˈəʊ ɹˈɛst.
128.wav| ðˈeə hˈiː stˈeɪd nˈiə oːpɑːs̪ɑːd̪ə ˈɪn ðˈə d̪eːʋə fˈɒɹɪst, ðˈə s̪ɑːlə fˈɒɹɪst tˈuː ðˈə nˈɔːθ ˈɒv ðˈə vˈɪlɪdʒ.
129.wav| ðˈɛn vˈɛnəɹəbəl məɦəkə wˈɪld ˈeɪ sˈaɪkɪk fˈiːt sˈʌtʃ ðˈat ˈeɪ kˈuːl wˈɪnd blˈuː, ˈeɪ θˈʌndəɹɪŋ klˈaʊd dɪvˈɛləpt, ˈand ðˈə ɹˈeɪn fˈɛl ˈɪn skˈatəd dɹˈɒps.
130.wav| 'ˈand hˈaʊ, mɑːluŋkjəput̪t̪ə, dˈuː jˈuː ɹɪmˈɛmbə ðˈə fˈaɪv lˈəʊə fˈɛtəz ˈaz tˈɔːt bˈaɪ mˈiː?'
131.wav| 'fˈɔː ˈeɪ mˈʌŋk hˈuːz mˈaɪnd ˈɪz ðˈʌs ɹˈaɪtli ɹɪlˈiːst, ʋəppə, sˈɪks kəntˈɪnjuːəl dwˈɛlɪŋz hˈav bˈiːn ɐtˈeɪnd.
132.wav| 'wˈɪtʃ fˈaɪv hˈaz hˈiː ɐbˈandənd? hˈiː hˈaz ɐbˈandənd sˈɛnsjuːəl dɪzˈaɪə… ˈɪl wˈɪl… slˈɒθ ˈand dɹˈaʊsinəs… ɹˈɛstləsnəs ˈand aŋzˈaɪəti… ʌnsˈɜːtənti.
133.wav| 'dɹˈʌŋk wˈɪð ðˈə ɪntˌɒksɪkˈeɪʃən ˈɒv jˈuːθ, ˈan ˌʌnɪnstɹˈʌktɪd, ɹˈʌn-ˈɒv-ðˈə-mˈɪl pˈɜːsən ɛŋɡˈeɪdʒɪz ˈɪn bˈɒdili mɪskˈɒndʌkt, vˈɜːbəl mɪskˈɒndʌkt, ˈand mˈɛntəl mɪskˈɒndʌkt.
134.wav| hˈiː hˈuː, ˈɪn ðˈɪs d̪ʰəmmə ˈand ʋɪn̪əjə, ɹɪmˈeɪnz hˈiːdfəl, lˈiːvɪŋ ðˈə wˈɒndəɹɪŋ-ˈɒn θɹˈuː bˈɜːθ, wˈɪl mˈeɪk ˈan ˈɛnd ˈɒv stɹˈɛs.
135.wav| (ˈeɪ) 'wˈɒn pˈɜːsɪpˌiənt ˈɒv fˈɔːm ɪntˈɜːnəli sˈiːz fˈɔːmz ɛkstˈɜːnəli ˈaz lˈɪmɪtɪd, bjˈuːtifəl ˈand ˈʌɡli.
136.wav| hˈiː dwˈɛlz ɹɪstɹˈeɪnd ˈɪn ɐkˈɔːdəns wˈɪð ðˈə pɑːʈɪmoːkkʰə, kˈɒnsəmˌeɪt ˈɪn hˈɪz bɪhˈeɪvjə ˈand sfˈiə ˈɒv aktˈɪvɪti.
137.wav| 'ðˈɪs hˈaz bˈiːn sˈɛd bˈaɪ pəɲt̪ʃɑːlət̪ʃəɳɖə ðˈə d̪eːʋə's̪ sˈʌn:
138.wav| ðˈɛn kˈɪŋ jəmə sˈɛz, 'mˈaɪ ɡˈʊd mˈan, dˈɪdnt jˈuː sˈiː ɐmˈʌŋ hjˈuːmən bˈiːɪŋz ˈeɪ tˈɛndə bˈeɪbi bˈɔɪ lˈaɪɪŋ pɹˈəʊn ˈɪn ˈɪts ˈəʊn jˈʊəɹɪn ˈand ˈɛkskɹɪmənt?'
139.wav| ˈaɪ ɡˈəʊ tˈuː ðˈə bud̪d̪ʰə fˈɔː ɹˈɛfjuːdʒ, tˈuː ðˈə d̪ʰəmmə, ˈand tˈuː ðˈə s̪əŋʰə ˈɒv mˈʌŋks.
140.wav| 'ðˈə əs̪uɾəs̪ tˈeɪk ɡɹˈeɪt dʒˈɔɪ ˈɪn ðˈə ɡɹˈeɪt ˈəʊʃən, lˈɔːd.'
141.wav| 'wˈɒt dˈuː jˈuː θˈɪŋk, upɑːɭɪ? ˈɪzənt ðˈɪs dwˈɛlɪŋ mˈɔː ˈɛksələnt ðˈɐn ðˈə ˈɜːlɪə dwˈɛlɪŋz, ˈand mˈɔː ɹɪfˈaɪnd?'
142.wav| ʋəɖɖʰə: wˈɪð wˈɒt ˈeɪ vˈast ɡˈəʊd mˈaɪ mˈʌðə pˈəʊkt mˈiː— bɪkˈɒz ˈɒv hˈɜː sˈɪmpəθi— vˈɜːsɪz kənˈɛktɪd tˈuː ðˈə ˈʌltɪmət ɡˈəʊl.
143.wav| 'mˈeɪ ˈaɪ hˈav nˈʌθɪŋ tˈuː dˈuː wˈɪð ˈɒnə, n̪ɑːɪt̪ə, ˈand ˈɒnə nˈʌθɪŋ tˈuː dˈuː wˈɪð mˈiː.
144.wav| sˌɪməltˈeɪniəsli wˈɪð ðˈə tˈəʊtəl ʌnbˈaɪndɪŋ, s̪əɦəmpət̪ɪ bɾəɦmɑː ˈʌtəd ðˈɪs vˈɜːs:
145.wav| ðˈə d̪eːʋət̪ɑːs̪, fɹˈɛndz, ˈɑː kəmplˈeɪnɪŋ.
146.wav| nˈaʊ ˈɒn ðˈat əkˈeɪʒən s̪eːlə ðˈə bɹˈɑːmən wˈɒz stˈeɪɪŋ ˈat ɑːpəɳə.
147.wav| ˈand ˈat ðˈat tˈaɪm ðˈə lˈeɪ fˈɒləʊə s̪oːɳə koːʈɪkəɳɳə
148.wav| bɑːʋəɾiː wˈɒz ɛɡzˈʌltənt. hˈɪz ɡɹˈiːf sʌbsˈaɪdɪd, ˈand hˈiː ɡˈeɪnd ɐbˈʌndənt ɹˈaptʃə.
149.wav| wˈɒt dˈuː jˈuː θˈɪŋk, s̪us̪ɪmə?
150.wav| ðˈɛn n̪əkulə's̪ mˈʌðə [n̪əkuləmət̪ɑː] sˈɛd tˈuː hˈɪm: 'dˈəʊnt bˈiː wˈʌɹid ˈaz jˈuː dˈaɪ, hˈaʊshəʊldə. dˈɛθ ˈɪz pˈeɪnfəl fˈɔː wˈɒn hˈuː ˈɪz wˈʌɹid.
151.wav| 'ðˈɪs ˈɪz stɹˈɛs' … 'ðˈɪs ˈɪz ðˈə əɹˌɪdʒɪnˈeɪʃən ˈɒv stɹˈɛs' … 'ðˈɪs ˈɪz ðˈə sɛsˈeɪʃən ˈɒv stɹˈɛs' … 'ðˈɪs ˈɪz ðˈə pˈaθ ˈɒv pɹˈaktɪs lˈiːdɪŋ tˈuː ðˈə sɛsˈeɪʃən ˈɒv stɹˈɛs':
152.wav| ðˈə fˈɔː tˈaɪps (ˈɒv nˈəʊbəl dɪsˈaɪpəlz) wˈɛn tˈeɪkən ˈaz pˈeəz, ðˈə ˈeɪt wˈɛn tˈeɪkən ˈaz ˌɪndɪvˈɪdʒuːəl tˈaɪps—ðˈeɪ ˈɑː ðˈə s̪əŋʰə ˈɒv ðˈə blˈɛsɛd wˈɒnz dɪsˈaɪpəlz:
153.wav| bˈʌt ðˈeə kˈʌmz ˈeɪ tˈaɪm wˈɛn hˈɪz mˈaɪnd ɡɹˈəʊz stˈɛdi ˈɪnwədli, sˈɛtəlz dˈaʊn, ɡɹˈəʊz jˈuːnɪfˌaɪd ˈand kˈɒnsəntɹˌeɪtɪd.
154.wav| θˈɔːts ˈɒv sˌɛnsjuːˈalɪti, θˈɔːts ˈɒv ˈɪl wˈɪl, θˈɔːts ˈɒv hˈɑːmfəlnəs; pəsˈɛpʃənz ˈɒv sˌɛnsjuːˈalɪti, pəsˈɛpʃənz ˈɒv ˈɪl wˈɪl, pəsˈɛpʃənz ˈɒv hˈɑːmfəlnəs.
155.wav| ˈeɪ dɪsˈaɪpəl ˈɒv ðˈə nˈəʊbəl wˈɒnz dɪsˈɜːnz fˈiːlɪŋ ˈɪn ðˈɪs wˈeɪ, ðˈə kˈɔːz bˈaɪ wˈɪtʃ fˈiːlɪŋ kˈʌmz ˈɪntʊ plˈeɪ ˈɪn ðˈɪs wˈeɪ, ðˈə daɪvˈɜːsɪti ˈɪn fˈiːlɪŋ ˈɪn ðˈɪs wˈeɪ,
156.wav| fɹˈɛndz, pˈaʃən kˈaɹiz lˈɪtəl blˈeɪm ˈand ˈɪz slˈəʊ tˈuː fˈeɪd. ɐvˈɜːʃən kˈaɹiz ɡɹˈeɪt blˈeɪm ˈand ˈɪz kwˈɪk tˈuː fˈeɪd. dɪlˈuːʒən kˈaɹiz ɡɹˈeɪt blˈeɪm ˈand ˈɪz slˈəʊ tˈuː fˈeɪd.
157.wav| 'ˈɔːl fɪnˈɒmɪnə hˈav kˈɒntakt ˈaz ðˈeə əɹˌɪdʒɪnˈeɪʃən.
158.wav| fɹˈɒm kɹˈeɪvɪŋ ˈaz ˈeɪ ɹˈɛkwɪsˌɪt kəndˈɪʃən kˈʌmz klˈɪŋɪŋ ˈɔː sˈʌstənəns.
159.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk kˈiːps hˈɪz pəsˈɪstəns ɐɹˈaʊzd fˈɔː ɐbˈandənɪŋ ʌnskˈɪlfəl mˈɛntəl kwˈɒlɪtiz ˈand tˈeɪkɪŋ ˈɒn skˈɪlfəl mˈɛntəl kwˈɒlɪtiz.
160.wav| 'ðˈeə ˈɑː ðˈiːz fˈaɪv stɹˈɪŋz ˈɒv sˌɛnsjuːˈalɪti: fˈɔːmz kˈɒɡnaɪzəbəl vˈaɪə ðˈə ˈaɪ—ɐɡɹˈiːəbəl, plˈiːzɪŋ, tʃˈɑːmɪŋ, ɛndˈiəɹɪŋ, ɛntˈaɪsɪŋ, lˈɪŋkt tˈuː sˈɛnsjuːəl dɪzˈaɪə;
161.wav| [sˈɪmɪləli wˈɪð ðˈə daɪmˈɛnʃən ˈɒv ðˈə ɪnfˈɪnɪtjˌuːd ˈɒv kˈɒnʃəsnəs ˈand ðˈə daɪmˈɛnʃən ˈɒv nˈʌθɪŋnəs.]
162.wav| wˈɛl-ɡˈɒn, ˈan ˈɛkspɜːt wˈɪð ɹɪɡˈɑːd tˈuː ðˈə kˈɒzmɒs, ˌʌnɛksˈɛld tɹˈeɪnə ˈɒv pˈiːpəl fˈɪt tˈuː bˈiː tˈeɪmd, tˈiːtʃə ˈɒv d̪eːʋəs̪ ˈand hjˈuːmən bˈiːɪŋz, ɐwˈeɪkənd, blˈɛst.
163.wav| 'bɹˈɑːmən, ðˈeə ˈɑː ðˈəʊz hˈuː, sˈʌbdʒɛkt tˈuː dˈɛθ, ˈɑː ɐfɹˈeɪd ˈand ˈɪn tˈɛɹə ˈɒv dˈɛθ.
164.wav| hˈiː ˈɪz fɹˈiːd fɹˈɒm bˈɜːθ, ˈeɪdʒɪŋ, ˈand dˈɛθ; fɹˈɒm sˈɒɹəʊz, lɐməntˈeɪʃənz, pˈeɪnz, dɪstɹˈɛsɪz, ˈand dɪspˈeəz.
165.wav| bˈʌt ˈɛnɪwˌɒn hˈuː ɹˈaʊzɪz hˈɪz ʌnbɪlˈiːvɪŋ mˈʌðə ˈand fˈɑːðə, sˈɛtəlz ˈand ɪstˈablɪʃɪz ðˈɛm ˈɪn kənvˈɪkʃən;
